id:ID,properties:JSON,:LABEL
1885,"{""halt_diva"": ""6255"", ""halt_kurz"": ""BOEN"", ""halt_lang"": ""Zürich, Bahnhof Oerlikon Nord"", ""halt_ist_aktiv"": ""True""}",Stop
1893,"{""halt_diva"": ""3026"", ""halt_kurz"": ""ENGE"", ""halt_lang"": ""Zürich, Bahnhof Enge"", ""halt_ist_aktiv"": ""True""}",Stop
1895,"{""halt_diva"": ""416"", ""halt_kurz"": ""BSTR"", ""halt_lang"": ""Zürich, Bahnhofstrasse/HB"", ""halt_ist_aktiv"": ""True""}",Stop
1905,"{""halt_diva"": ""1430"", ""halt_kurz"": ""KLUS"", ""halt_lang"": ""Zürich, Klusplatz"", ""halt_ist_aktiv"": ""True""}",Stop
1906,"{""halt_diva"": ""1357"", ""halt_kurz"": ""KALK"", ""halt_lang"": ""Zürich,Kalkbreite/Bhf.Wiedikon"", ""halt_ist_aktiv"": ""True""}",Stop
1907,"{""halt_diva"": ""1612"", ""halt_kurz"": ""MANG"", ""halt_lang"": ""Zürich, Manegg"", ""halt_ist_aktiv"": ""True""}",Stop
1908,"{""halt_diva"": ""1187"", ""halt_kurz"": ""HEUR"", ""halt_lang"": ""Zürich, Heuried"", ""halt_ist_aktiv"": ""True""}",Stop
1919,"{""halt_diva"": ""3447"", ""halt_kurz"": ""BOEO"", ""halt_lang"": ""Zürich, Bahnhof Oerlikon Ost"", ""halt_ist_aktiv"": ""True""}",Stop
1920,"{""halt_diva"": ""439"", ""halt_kurz"": ""BELA07"", ""halt_lang"": ""Wallisellen, Belair"", ""halt_ist_aktiv"": ""True""}",Stop
1928,"{""halt_diva"": ""6460"", ""halt_kurz"": ""ZFER"", ""halt_lang"": ""Zürich, Fernsehstudio"", ""halt_ist_aktiv"": ""True""}",Stop
1931,"{""halt_diva"": ""6461"", ""halt_kurz"": ""GGLA07"", ""halt_lang"": ""Glattpark"", ""halt_ist_aktiv"": ""True""}",Stop
1934,"{""halt_diva"": ""1275"", ""halt_kurz"": ""SEPL"", ""halt_lang"": ""Zürich, Seebacherplatz"", ""halt_ist_aktiv"": ""True""}",Stop
1938,"{""halt_diva"": ""619"", ""halt_kurz"": ""CENT"", ""halt_lang"": ""Zürich, Central"", ""halt_ist_aktiv"": ""True""}",Stop
2019,"{""halt_diva"": ""2798"", ""halt_kurz"": ""WAGO"", ""halt_lang"": ""Schlieren, Wagonsfabrik"", ""halt_ist_aktiv"": ""True""}",Stop
2022,"{""halt_diva"": ""2128"", ""halt_kurz"": ""ROES"", ""halt_lang"": ""Zürich, Röslistrasse"", ""halt_ist_aktiv"": ""True""}",Stop
2023,"{""halt_diva"": ""6055"", ""halt_kurz"": ""DEP2"", ""halt_lang"": ""Zürich, Depot 2 Wollishofen"", ""halt_ist_aktiv"": ""True""}",Stop
2025,"{""halt_diva"": ""3044"", ""halt_kurz"": ""BWOL"", ""halt_lang"": ""Zürich, Bhf Wollishofen (Tram)"", ""halt_ist_aktiv"": ""True""}",Stop
2035,"{""halt_diva"": ""2054"", ""halt_kurz"": ""RAUG"", ""halt_lang"": ""Zürich, Rennweg"", ""halt_ist_aktiv"": ""True""}",Stop
2043,"{""halt_diva"": ""2236"", ""halt_kurz"": ""SCHL"", ""halt_lang"": ""Schlieren, Zentrum/Bahnhof"", ""halt_ist_aktiv"": ""True""}",Stop
2045,"{""halt_diva"": ""1061"", ""halt_kurz"": ""GUGG"", ""halt_lang"": ""Zürich, Guggachstrasse"", ""halt_ist_aktiv"": ""True""}",Stop
2046,"{""halt_diva"": ""2326"", ""halt_kurz"": ""SCHO"", ""halt_lang"": ""Zürich, Schörlistrasse"", ""halt_ist_aktiv"": ""True""}",Stop
2047,"{""halt_diva"": ""2411"", ""halt_kurz"": ""SONN"", ""halt_lang"": ""Zürich, Sonneggstrasse"", ""halt_ist_aktiv"": ""True""}",Stop
2052,"{""halt_diva"": ""998"", ""halt_kurz"": ""GLAT"", ""halt_lang"": ""Zürich, Glattwiesen"", ""halt_ist_aktiv"": ""True""}",Stop
2060,"{""halt_diva"": ""2256"", ""halt_kurz"": ""SWIE"", ""halt_lang"": ""Zürich, Schmiede Wiedikon"", ""halt_ist_aktiv"": ""True""}",Stop
2078,"{""halt_diva"": ""6659"", ""halt_kurz"": ""WNEU07"", ""halt_lang"": ""Wallisellen, Neugut"", ""halt_ist_aktiv"": ""True""}",Stop
2079,"{""halt_diva"": ""6660"", ""halt_kurz"": ""DGIE07"", ""halt_lang"": ""Dübendorf, Giessen"", ""halt_ist_aktiv"": ""True""}",Stop
2081,"{""halt_diva"": ""6032"", ""halt_kurz"": ""DEP7"", ""halt_lang"": ""Zürich, Depot 7 Irchel"", ""halt_ist_aktiv"": ""True""}",Stop
2082,"{""halt_diva"": ""3785"", ""halt_kurz"": ""RINW"", ""halt_lang"": ""Dübendorf, Ringwiesen"", ""halt_ist_aktiv"": ""True""}",Stop
2083,"{""halt_diva"": ""132"", ""halt_kurz"": ""ZAUZ"", ""halt_lang"": ""Zürich, Auzelg"", ""halt_ist_aktiv"": ""True""}",Stop
2084,"{""halt_diva"": ""1453"", ""halt_kurz"": ""KREU"", ""halt_lang"": ""Zürich, Kreuzplatz"", ""halt_ist_aktiv"": ""True""}",Stop
2085,"{""halt_diva"": ""1522"", ""halt_kurz"": ""LAUI"", ""halt_lang"": ""Zürich, Laubiweg"", ""halt_ist_aktiv"": ""True""}",Stop
2086,"{""halt_diva"": ""435"", ""halt_kurz"": ""BECK"", ""halt_lang"": ""Zürich, Beckenhof"", ""halt_ist_aktiv"": ""True""}",Stop
2087,"{""halt_diva"": ""1468"", ""halt_kurz"": ""KRON"", ""halt_lang"": ""Zürich, Kronenstrasse"", ""halt_ist_aktiv"": ""True""}",Stop
2088,"{""halt_diva"": ""2474"", ""halt_kurz"": ""STAM"", ""halt_lang"": ""Zürich, Stampfenbachplatz"", ""halt_ist_aktiv"": ""True""}",Stop
2089,"{""halt_diva"": ""2045"", ""halt_kurz"": ""REGB"", ""halt_lang"": ""Zürich, Regensbergbrücke"", ""halt_ist_aktiv"": ""True""}",Stop
2090,"{""halt_diva"": ""144"", ""halt_kurz"": ""BADA"", ""halt_lang"": ""Zürich, Bad Allenmoos"", ""halt_ist_aktiv"": ""True""}",Stop
2092,"{""halt_diva"": ""2549"", ""halt_kurz"": ""REHA"", ""halt_lang"": ""Zürich, Rehalp"", ""halt_ist_aktiv"": ""True""}",Stop
2104,"{""halt_diva"": ""1845"", ""halt_kurz"": ""OPER"", ""halt_lang"": ""Zürich, Opernhaus"", ""halt_ist_aktiv"": ""True""}",Stop
2110,"{""halt_diva"": ""2879"", ""halt_kurz"": ""WETL"", ""halt_lang"": ""Zürich, Wetlistrasse"", ""halt_ist_aktiv"": ""True""}",Stop
2111,"{""halt_diva"": ""3039"", ""halt_kurz"": ""BSTA"", ""halt_lang"": ""Zürich, Bahnhof Stadelhofen"", ""halt_ist_aktiv"": ""True""}",Stop
2113,"{""halt_diva"": ""1144"", ""halt_kurz"": ""HEGI"", ""halt_lang"": ""Zürich, Hegibachplatz"", ""halt_ist_aktiv"": ""True""}",Stop
2121,"{""halt_diva"": ""421"", ""halt_kurz"": ""BALG"", ""halt_lang"": ""Zürich, Balgrist"", ""halt_ist_aktiv"": ""True""}",Stop
2144,"{""halt_diva"": ""6034"", ""halt_kurz"": ""GAR6"", ""halt_lang"": ""Zürich, Garage 6 Hardau"", ""halt_ist_aktiv"": ""True""}",Stop
2145,"{""halt_diva"": ""2950"", ""halt_kurz"": ""WOLL"", ""halt_lang"": ""Zürich, Wollishofen"", ""halt_ist_aktiv"": ""True""}",Stop
2146,"{""halt_diva"": ""2889"", ""halt_kurz"": ""WIDM"", ""halt_lang"": ""Zürich, Widmerstrasse"", ""halt_ist_aktiv"": ""True""}",Stop
2183,"{""halt_diva"": ""2771"", ""halt_kurz"": ""SIHN"", ""halt_lang"": ""Zürich, Sihlcity Nord"", ""halt_ist_aktiv"": ""True""}",Stop
2187,"{""halt_diva"": ""6735"", ""halt_kurz"": ""WGLA07"", ""halt_lang"": ""Wallisellen, Glatt (Tram)"", ""halt_ist_aktiv"": ""True"", ""halt_punkt_diva"": ""1"", ""halt_id"": ""1010"", ""GPS_Latitude"": ""47,368914"", ""GPS_Longitude"": ""8,502159"", ""GPS_Bearing"": ""76"", ""halt_punkt_ist_aktiv"": ""True""}",StopPoint
2198,"{""halt_diva"": ""944"", ""halt_kurz"": ""GEER"", ""halt_lang"": ""Zürich, Geeringstrasse"", ""halt_ist_aktiv"": ""True""}",Stop
2228,"{""halt_diva"": ""601"", ""halt_kurz"": ""BOES"", ""halt_lang"": ""Zürich, Börsenstrasse"", ""halt_ist_aktiv"": ""True""}",Stop
2244,"{""halt_diva"": ""1364"", ""halt_kurz"": ""KAPP"", ""halt_lang"": ""Zürich, Kappeli"", ""halt_ist_aktiv"": ""True""}",Stop
2245,"{""halt_diva"": ""1548"", ""halt_kurz"": ""LETG"", ""halt_lang"": ""Zürich, Letzigrund"", ""halt_ist_aktiv"": ""True""}",Stop
2247,"{""halt_diva"": ""1386"", ""halt_kurz"": ""KERN"", ""halt_lang"": ""Zürich, Kernstrasse"", ""halt_ist_aktiv"": ""True""}",Stop
2248,"{""halt_diva"": ""1579"", ""halt_kurz"": ""LOCH"", ""halt_lang"": ""Zürich, Lochergut"", ""halt_ist_aktiv"": ""True""}",Stop
2250,"{""halt_diva"": ""3019"", ""halt_kurz"": ""ZYPR"", ""halt_lang"": ""Zürich, Zypressenstrasse"", ""halt_ist_aktiv"": ""True""}",Stop
2251,"{""halt_diva"": ""6030"", ""halt_kurz"": ""DEP4"", ""halt_lang"": ""Zürich, Depot 4 Elisabethenstr"", ""halt_ist_aktiv"": ""True""}",Stop
2253,"{""halt_diva"": ""883"", ""halt_kurz"": ""FREI"", ""halt_lang"": ""Zürich, Freihofstrasse"", ""halt_ist_aktiv"": ""True""}",Stop
2256,"{""halt_diva"": ""1608"", ""halt_kurz"": ""LOEW"", ""halt_lang"": ""Zürich, Löwenplatz"", ""halt_ist_aktiv"": ""True""}",Stop
2257,"{""halt_diva"": ""6459"", ""halt_kurz"": ""ZOER"", ""halt_lang"": ""Zürich, Oerlikerhus"", ""halt_ist_aktiv"": ""True""}",Stop
2258,"{""halt_diva"": ""1098"", ""halt_kurz"": ""HALB"", ""halt_lang"": ""Zürich, Haldenbach"", ""halt_ist_aktiv"": ""True""}",Stop
2260,"{""halt_diva"": ""2367"", ""halt_kurz"": ""RIGI"", ""halt_lang"": ""Zürich, Seilbahn Rigiblick"", ""halt_ist_aktiv"": ""True""}",Stop
2262,"{""halt_diva"": ""1366"", ""halt_kurz"": ""SIHP"", ""halt_lang"": ""Zürich, Sihlpost / HB"", ""halt_ist_aktiv"": ""True""}",Stop
2274,"{""halt_diva"": ""1550"", ""halt_kurz"": ""LETZ"", ""halt_lang"": ""Zürich, Letzistrasse"", ""halt_ist_aktiv"": ""True""}",Stop
2275,"{""halt_diva"": ""2388"", ""halt_kurz"": ""SIGN"", ""halt_lang"": ""Zürich, Signaustrasse"", ""halt_ist_aktiv"": ""True""}",Stop
2276,"{""halt_diva"": ""465"", ""halt_kurz"": ""BERN"", ""halt_lang"": ""Zürich, Berninaplatz"", ""halt_ist_aktiv"": ""True""}",Stop
2287,"{""halt_diva"": ""1557"", ""halt_kurz"": ""LIMM"", ""halt_lang"": ""Zürich, Limmatplatz"", ""halt_ist_aktiv"": ""True""}",Stop
2289,"{""halt_diva"": ""2395"", ""halt_kurz"": ""SIHL"", ""halt_lang"": ""Zürich, Sihlquai/HB"", ""halt_ist_aktiv"": ""True""}",Stop
2290,"{""halt_diva"": ""648"", ""halt_kurz"": ""DAMM"", ""halt_lang"": ""Zürich, Dammweg"", ""halt_ist_aktiv"": ""True""}",Stop
2292,"{""halt_diva"": ""1399"", ""halt_kurz"": ""KINK"", ""halt_lang"": ""Zürich, Kinkelstrasse"", ""halt_ist_aktiv"": ""True""}",Stop
2293,"{""halt_diva"": ""2924"", ""halt_kurz"": ""WINK"", ""halt_lang"": ""Zürich, Winkelriedstrasse"", ""halt_ist_aktiv"": ""True""}",Stop
2294,"{""halt_diva"": ""1667"", ""halt_kurz"": ""MUFG"", ""halt_lang"": ""Zürich, Museum für Gestaltung"", ""halt_ist_aktiv"": ""True""}",Stop
2295,"{""halt_diva"": ""580"", ""halt_kurz"": ""BURG"", ""halt_lang"": ""Zürich, Burgwies"", ""halt_ist_aktiv"": ""True""}",Stop
2298,"{""halt_diva"": ""2014"", ""halt_kurz"": ""QUEL"", ""halt_lang"": ""Zürich, Quellenstrasse"", ""halt_ist_aktiv"": ""True""}",Stop
2299,"{""halt_diva"": ""6031"", ""halt_kurz"": ""DEP5"", ""halt_lang"": ""Zürich, Depot 5 Hard"", ""halt_ist_aktiv"": ""True""}",Stop
2300,"{""halt_diva"": ""6033"", ""halt_kurz"": ""DEP8"", ""halt_lang"": ""Zürich, Depot 8 Oerlikon"", ""halt_ist_aktiv"": ""True"", ""halt_punkt_diva"": ""50"", ""halt_id"": ""1067"", ""GPS_Latitude"": ""47,433551"", ""GPS_Longitude"": ""8,565714"", ""GPS_Bearing"": ""208"", ""halt_punkt_ist_aktiv"": ""False""}",StopPoint
2301,"{""halt_diva"": ""6035"", ""halt_kurz"": ""GAR9"", ""halt_lang"": ""Zürich, Garage 9 Hagenholz"", ""halt_ist_aktiv"": ""True"", ""halt_punkt_diva"": ""51"", ""halt_id"": ""1067"", ""GPS_Latitude"": ""47,433508"", ""GPS_Longitude"": ""8,565861"", ""GPS_Bearing"": ""31"", ""halt_punkt_ist_aktiv"": ""False""}",StopPoint
2302,"{""halt_diva"": ""1100"", ""halt_kurz"": ""HEGG"", ""halt_lang"": ""Zürich, Haldenegg"", ""halt_ist_aktiv"": ""True""}",Stop
2308,"{""halt_diva"": ""1138"", ""halt_kurz"": ""HEDW"", ""halt_lang"": ""Zürich, Hedwigsteig"", ""halt_ist_aktiv"": ""True""}",Stop
2312,"{""halt_diva"": ""894"", ""halt_kurz"": ""ENZE"", ""halt_lang"": ""Zürich, Friedhof Enzenbühl"", ""halt_ist_aktiv"": ""True""}",Stop
2313,"{""halt_diva"": ""2151"", ""halt_kurz"": ""SALE"", ""halt_lang"": ""Zürich, Salersteig"", ""halt_ist_aktiv"": ""True""}",Stop
2315,"{""halt_diva"": ""1507"", ""halt_kurz"": ""LANM"", ""halt_lang"": ""Zürich, Langmauerstrasse"", ""halt_ist_aktiv"": ""True""}",Stop
2316,"{""halt_diva"": ""2575"", ""halt_kurz"": ""BSTE"", ""halt_lang"": ""Zürich, Bahnhof Stettbach"", ""halt_ist_aktiv"": ""True""}",Stop
2356,"{""halt_diva"": ""1620"", ""halt_kurz"": ""MATT"", ""halt_lang"": ""Zürich, Mattenhof"", ""halt_ist_aktiv"": ""True""}",Stop
2367,"{""halt_diva"": ""547"", ""halt_kurz"": ""BRUN"", ""halt_lang"": ""Zürich, Brunaustrasse"", ""halt_ist_aktiv"": ""True""}",Stop
2375,"{""halt_diva"": ""2814"", ""halt_kurz"": ""WALD"", ""halt_lang"": ""Zürich, Waldgarten"", ""halt_ist_aktiv"": ""True""}",Stop
2383,"{""halt_diva"": ""1640"", ""halt_kurz"": ""MICA"", ""halt_lang"": ""Zürich, Micafil"", ""halt_ist_aktiv"": ""True""}",Stop
2404,"{""halt_diva"": ""488"", ""halt_kurz"": ""BILO"", ""halt_lang"": ""Zürich, Billoweg"", ""halt_ist_aktiv"": ""True""}",Stop
2406,"{""halt_diva"": ""2666"", ""halt_kurz"": ""TIER"", ""halt_lang"": ""Zürich, Tierspital"", ""halt_ist_aktiv"": ""True""}",Stop
2413,"{""halt_diva"": ""1666"", ""halt_kurz"": ""MUSR"", ""halt_lang"": ""Zürich, Museum Rietberg"", ""halt_ist_aktiv"": ""True""}",Stop
2414,"{""halt_diva"": ""2582"", ""halt_kurz"": ""STOC"", ""halt_lang"": ""Zürich, Stockerstrasse"", ""halt_ist_aktiv"": ""True""}",Stop
2422,"{""halt_diva"": ""1179"", ""halt_kurz"": ""HERZ"", ""halt_lang"": ""Zürich, Herzogenmühlestrasse"", ""halt_ist_aktiv"": ""True""}",Stop
2423,"{""halt_diva"": ""6626"", ""halt_kurz"": ""BLUM"", ""halt_lang"": ""Zürich, Blumenfeldstrasse"", ""halt_ist_aktiv"": ""True""}",Stop
2424,"{""halt_diva"": ""6627"", ""halt_kurz"": ""ASPH"", ""halt_lang"": ""Zürich, Aspholz"", ""halt_ist_aktiv"": ""True""}",Stop
2425,"{""halt_diva"": ""6628"", ""halt_kurz"": ""MUEH"", ""halt_lang"": ""Zürich, Mühlacker"", ""halt_ist_aktiv"": ""True""}",Stop
2428,"{""halt_diva"": ""617"", ""halt_kurz"": ""CARL"", ""halt_lang"": ""Zürich, Carl-Spitteler-Strasse"", ""halt_ist_aktiv"": ""True""}",Stop
