:START_ID,:END_ID,:TYPE,properties:JSON
2615,2680,CONNECTED_BY,"{""linie"": ""2"", ""richtung"": ""1"", ""kurs"": ""6"", ""seq_von"": ""22"", ""seq_nach"": ""23"", ""fahrweg_id"": ""31058"", ""fw_no"": ""1"", ""fw_typ"": ""1"", ""fw_lang"": ""FARB - BTIE""}"
2689,2615,CONNECTED_BY,"{""linie"": ""2"", ""richtung"": ""1"", ""kurs"": ""6"", ""seq_von"": ""21"", ""seq_nach"": ""22"", ""fahrweg_id"": ""31058"", ""fw_no"": ""1"", ""fw_typ"": ""1"", ""fw_lang"": ""FARB - BTIE""}"
2612,2689,CONNECTED_BY,"{""linie"": ""2"", ""richtung"": ""1"", ""kurs"": ""6"", ""seq_von"": ""20"", ""seq_nach"": ""21"", ""fahrweg_id"": ""31058"", ""fw_no"": ""1"", ""fw_typ"": ""1"", ""fw_lang"": ""FARB - BTIE""}"
2104,2612,CONNECTED_BY,"{""linie"": ""2"", ""richtung"": ""1"", ""kurs"": ""6"", ""seq_von"": ""19"", ""seq_nach"": ""20"", ""fahrweg_id"": ""31058"", ""fw_no"": ""1"", ""fw_typ"": ""1"", ""fw_lang"": ""FARB - BTIE""}"
1565,2104,CONNECTED_BY,"{""linie"": ""2"", ""richtung"": ""1"", ""kurs"": ""6"", ""seq_von"": ""18"", ""seq_nach"": ""19"", ""fahrweg_id"": ""31058"", ""fw_no"": ""1"", ""fw_typ"": ""1"", ""fw_lang"": ""FARB - BTIE""}"
2590,1565,CONNECTED_BY,"{""linie"": ""2"", ""richtung"": ""1"", ""kurs"": ""6"", ""seq_von"": ""17"", ""seq_nach"": ""18"", ""fahrweg_id"": ""31058"", ""fw_no"": ""1"", ""fw_typ"": ""1"", ""fw_lang"": ""FARB - BTIE""}"
2228,2590,CONNECTED_BY,"{""linie"": ""2"", ""richtung"": ""1"", ""kurs"": ""6"", ""seq_von"": ""16"", ""seq_nach"": ""17"", ""fahrweg_id"": ""31058"", ""fw_no"": ""1"", ""fw_typ"": ""1"", ""fw_lang"": ""FARB - BTIE""}"
1528,2228,CONNECTED_BY,"{""linie"": ""2"", ""richtung"": ""1"", ""kurs"": ""6"", ""seq_von"": ""15"", ""seq_nach"": ""16"", ""fahrweg_id"": ""31058"", ""fw_no"": ""1"", ""fw_typ"": ""1"", ""fw_lang"": ""FARB - BTIE""}"
2657,1528,CONNECTED_BY,"{""linie"": ""2"", ""richtung"": ""1"", ""kurs"": ""6"", ""seq_von"": ""14"", ""seq_nach"": ""15"", ""fahrweg_id"": ""31058"", ""fw_no"": ""1"", ""fw_typ"": ""1"", ""fw_lang"": ""FARB - BTIE""}"
1502,2657,CONNECTED_BY,"{""linie"": ""2"", ""richtung"": ""1"", ""kurs"": ""6"", ""seq_von"": ""13"", ""seq_nach"": ""14"", ""fahrweg_id"": ""31058"", ""fw_no"": ""1"", ""fw_typ"": ""1"", ""fw_lang"": ""FARB - BTIE""}"
1306,1502,CONNECTED_BY,"{""linie"": ""2"", ""richtung"": ""1"", ""kurs"": ""6"", ""seq_von"": ""12"", ""seq_nach"": ""13"", ""fahrweg_id"": ""31058"", ""fw_no"": ""1"", ""fw_typ"": ""1"", ""fw_lang"": ""FARB - BTIE""}"
1906,1306,CONNECTED_BY,"{""linie"": ""2"", ""richtung"": ""1"", ""kurs"": ""6"", ""seq_von"": ""11"", ""seq_nach"": ""12"", ""fahrweg_id"": ""31058"", ""fw_no"": ""1"", ""fw_typ"": ""1"", ""fw_lang"": ""FARB - BTIE""}"
2651,2788,CONNECTED_BY,"{""linie"": ""2"", ""richtung"": ""1"", ""kurs"": ""5"", ""seq_von"": ""13"", ""seq_nach"": ""14"", ""fahrweg_id"": ""29829"", ""fw_no"": ""11"", ""fw_typ"": ""1"", ""fw_lang"": ""BEZI - BTIE für Ausfahrt""}"
